MissingRate,Repeat,Seed,Mean,Median,ClinDiff-Lite,ClinDiff-Gated,Mean Liver Avg,ClinDiff-Lite Liver Avg,ClinDiff-Gated Liver Avg,Grouped Usage Rate,Masked Observed Cells,Masked Headline Cells,Masked Liver Cells
40%,95,2520,163.08580847653383,179.08380645731938,162.0390843306074,158.5360897672951,169.51662619811898,165.70481082603683,162.78330238370737,0.48615253515125695,4870,3998,2330
40%,96,2521,201.43675253030037,217.94889476022678,200.167063786262,199.34253084837965,194.44728300320574,188.2203456383396,187.41656176999118,0.4853003834682573,4844,3992,2314
40%,97,2522,210.44532675318663,225.97595225605963,209.00978180979246,207.27734822217522,202.78947386716496,195.18599173506706,193.75148275999982,0.4801874733702599,4916,4067,2306
40%,98,2523,186.44696270573758,203.93283713540183,184.53311408202123,186.16052530778524,185.81478723059513,178.6683055977146,179.8776307942264,0.5057520238602471,4791,3944,2233
40%,99,2524,188.85804845997936,202.09251416790224,187.54360204963515,185.81425004855794,193.7024156255609,187.8117972485626,186.34126002878952,0.4904132935662548,4875,4024,2274
40%,100,2525,187.1195228894647,201.82205430293317,185.9052925904638,182.72801121869927,185.4318421979376,180.12987777579545,177.60959646847786,0.48828291435875587,4901,3992,2293
60%,1,2626,189.18231011648783,204.35311113918755,189.18231011648783,189.14764922520393,192.68771217470444,192.68771217470444,192.46724820049835,0.0,7187,5929,3376
60%,2,2627,190.90095339680673,207.3511861452053,190.0181439439759,190.0181439439759,188.21022624759664,183.91831100198206,183.91831100198206,0.0,7276,5986,3429
60%,3,2628,192.35539742845486,209.14723347837915,191.44683581762578,191.4393189756223,192.70476060826297,189.1408375182502,189.0854812532598,0.0,7221,5935,3404
60%,4,2629,175.3726736433919,191.66236297079138,174.57983293742402,174.5245971550423,180.10019491045657,177.86421431157916,177.52094315918524,0.0,7201,5899,3386
60%,5,2630,170.8856312785145,184.13837008081265,170.68762677729003,170.6874713895231,174.2116672201723,173.0919345681882,173.0910276886116,0.0,7157,5897,3383
60%,6,2631,185.52713317216643,199.72365937470852,185.12339915436138,185.12339915436138,187.38146246794858,184.5059393758496,184.5059393758496,0.0,7141,5854,3350
60%,7,2632,196.0125662704472,209.9191724518455,195.37029886841515,195.37029886841515,192.93431647145405,189.8387036207862,189.8387036207862,0.0,7146,5848,3308
60%,8,2633,156.95565235853715,173.01735026382244,155.75746732628306,155.75746732628306,160.55679988841587,155.6179284767502,155.6179284767502,0.0,7185,5894,3380
60%,9,2634,196.1418587028924,211.57673739323084,195.20658250768668,195.20658250768668,190.58709123737194,186.18319132522853,186.18319132522853,0.0,7155,5860,3349
60%,10,2635,185.0761601463345,200.65790880226362,185.0761601463345,185.02421204757653,184.39229522387393,184.39229522387393,184.04922797396716,0.0,7260,5954,3444
60%,11,2636,193.39941420539472,210.66316311141068,192.6164172507348,192.61622438153233,194.7621618924439,191.6386088504324,191.6372207722197,0.0,7241,5915,3432
60%,12,2637,193.70661340035593,208.4955916789355,193.06617724285647,193.06617724285647,194.4553479703392,191.88207935932007,191.88207935932007,0.0,7179,5881,3373
60%,13,2638,178.03759387037508,193.2852516159709,177.19797796885172,177.1676854714398,182.81901941407023,180.25961713966566,180.08116810792694,0.0,7139,5851,3353
60%,14,2639,191.26834338363315,204.97386310619532,190.50366317340442,190.50366317340442,191.33646766873335,188.0904720896473,188.0904720896473,0.0,7210,5953,3395
60%,15,2640,186.39818707247088,201.92886838481505,185.54743011277017,185.54743011277017,184.79096451085368,180.960943845204,180.960943845204,0.0,7085,5792,3317
60%,16,2641,188.88286611475513,203.8861077286503,188.28214082951953,188.28214082951953,193.39263346562166,191.08902033903223,191.08902033903223,0.0,7251,5934,3363
60%,17,2642,182.9137370303271,194.89832314738004,181.69901686824338,181.69901686824338,185.86431344824715,181.28621115791887,181.28621115791887,0.0,7083,5798,3310
60%,18,2643,189.88108905281575,204.6081706399494,189.88101161585217,189.84104372247785,192.49457012876405,192.49457012876405,192.25011388000715,0.0,7249,5981,3431
60%,19,2644,195.9091856284929,212.42311162331882,195.11075126219458,195.11075126219458,194.168007718156,190.27354563339102,190.27354563339102,0.0,7103,5857,3351
60%,20,2645,195.80880034089864,212.7036800649856,195.35935594927392,195.3078669586574,195.976068533393,194.4801303103749,194.12235408434663,0.0,7158,5907,3366
60%,21,2646,187.46166627728107,201.677842928926,186.56007081252164,186.56719003085888,192.88579139595245,189.26532690667474,189.3139192063437,0.0,7149,5881,3315
60%,22,2647,176.27725205782335,189.4784282201539,175.04152127444763,175.04152127444763,180.07396051252192,174.61069071213402,174.61069071213402,0.0,7182,5923,3384
60%,23,2648,193.42319142244762,207.95283764277463,193.42319142244762,193.37339477328172,188.71934637860025,188.71934637860025,188.36687499793925,0.0,7228,5972,3476
60%,24,2649,168.8333506517319,184.36838040368406,168.8333506517319,168.78693329601114,171.79177359181799,171.79177359181799,171.52445477828948,0.0,7106,5886,3371
60%,25,2650,190.17233974311128,205.54774456655505,189.88586004058473,189.88586004058473,187.54530142482932,185.57945120443514,185.57945120443514,0.0,7174,5913,3400
60%,26,2651,181.2173956021293,196.58627426182338,180.5570108039841,180.55925936479395,187.52025092971596,185.27092163009365,185.28471227197522,0.0,7076,5827,3303
60%,27,2652,185.4405568937339,198.99605985857062,184.57798667201806,184.57798667201806,181.9083916170483,177.63159724259654,177.63159724259654,0.0,7236,5941,3413
60%,28,2653,185.3257573469358,198.09621629119886,185.1153687870033,185.11486572118767,182.7688049990147,181.2822964425059,181.2785742703054,0.0,7234,5979,3386
60%,29,2654,176.62743523487396,193.8309779832357,180.7176985746073,180.7158115105075,178.96654342994967,181.13196353658233,181.11953578997853,0.0,7235,6026,3477
60%,30,2655,166.53238546455282,182.2460995423187,165.5557318555146,165.5557318555146,171.7874539293886,167.9811273212114,167.9811273212114,0.0,7206,5927,3384
